   1.5000000e+01   1.0000000e+01   3.9000000e+01
   1.0000000e+01   5.0000000e+00   3.0000000e+01
   5.0000000e+00   4.0000000e+00   2.5000000e+01
   4.0000000e+00   3.0000000e+00   2.4000000e+01
   3.0000000e+00   2.0000000e+00   2.3000000e+01
   2.0000000e+00   1.0000000e+00   2.2000000e+01
   1.0000000e+00   6.0000000e+00   2.6000000e+01
   6.0000000e+00   1.1000000e+01   3.5000000e+01
   1.1000000e+01   1.6000000e+01   4.4000000e+01
   1.6000000e+01   1.9000000e+01   4.9000000e+01
   1.9000000e+01   2.0000000e+01   5.2000000e+01
   2.0000000e+01   2.1000000e+01   5.3000000e+01
